Kind,Name,File,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,AExecutionConditionClass.java,platform-tests\src\test\java\org\junit\platform\commons\util\classes\AExecutionConditionClass.java,1,1,,,,,1,,10
File,ATestExecutionListenerClass.java,platform-tests\src\test\java\org\junit\platform\commons\util\classes\ATestExecutionListenerClass.java,0,0,,,,,0,,4
File,AVanillaEmpty.java,platform-tests\src\test\java\org\junit\platform\commons\util\classes\AVanillaEmpty.java,0,0,,,,,0,,3
File,AbortOnFailureLauncherDiscoveryListener.java,junit-platform-launcher\src\main\java\org\junit\platform\launcher\listeners\discovery\AbortOnFailureLauncherDiscoveryListener.java,9,2,,,,,4,,43
File,AbortOnFailureLauncherDiscoveryListenerTests.java,platform-tests\src\test\java\org\junit\platform\launcher\listeners\discovery\AbortOnFailureLauncherDiscoveryListenerTests.java,9,1,,,,,5,,74
File,AbstractAnnotatedDescriptorWrapper.java,junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\discovery\AbstractAnnotatedDescriptorWrapper.java,7,1,,,,,7,,37
File,AbstractApiReportWriter.java,documentation\src\tools\java\org\junit\api\tools\AbstractApiReportWriter.java,10,1,,,,,13,,57
File,AbstractClassNameFilter.java,junit-platform-engine\src\main\java\org\junit\platform\engine\discovery\AbstractClassNameFilter.java,3,1,,,,,3,,24
File,AbstractEqualsAndHashCodeTests.java,platform-tests\src\test\java\org\junit\platform\AbstractEqualsAndHashCodeTests.java,1,1,,,,,1,,20
File,AbstractExecutableInvokerTests.java,jupiter-tests\src\test\java\org\junit\jupiter\engine\execution\AbstractExecutableInvokerTests.java,7,1,,,,,7,,62
File,AbstractExecutionConditionTests.java,jupiter-tests\src\test\java\org\junit\jupiter\api\condition\AbstractExecutionConditionTests.java,13,1,,,,,11,,71
File,AbstractExtensionContext.java,junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\descriptor\AbstractExtensionContext.java,22,1,,,,,17,,124
